#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,47111.07843662733,1516.1542509233764,1.4912355604173981,5428.940278125,38328.76074537722,1047.143475,458.1773466021024,299.1838500000003,629.0868751673754,2.991838500000003,42.0110557533739
2,43922.845652183285,1447.5033203323667,1.3893988398812793,5428.940278125,35711.28339965848,1047.143475,428.4007862831308,299.1838500000003,606.4861241210565,2.991838500000003,39.2807925813049
3,65040.47757134238,1091.8455761528169,1.5374146335247612,5428.940278125,55805.56344043765,1047.143475,666.0764738549348,299.1838500000003,213.35010876811995,2.991838500000003,14.453747439830426
4,62478.83214490743,1095.2968109405938,1.578733225498359,5428.940278125,53058.909812639446,1047.143475,632.4541294930706,299.1838500000003,200.8026960458483,2.991838500000003,13.78207580261392
5,74256.92443691427,1115.1714324059421,1.8486735888116164,5428.940278125,63299.23341673877,1047.143475,748.5858028296375,299.1838500000003,122.5646760434831,2.991838500000003,9.178554289037091
6,49013.65649897066,923.5179730775756,1.2198065521551205,5428.940278125,41633.19599474652,1047.143475,502.7028536318904,299.1838500000003,187.51350219282614,2.991838500000003,11.601266824355717
7,62141.860653696276,992.61120813188,1.5829833823373634,5428.940278125,52703.783165802764,1047.143475,628.1366305362495,299.1838500000003,103.11385953358395,2.991838500000003,7.086758815339499
8,53827.40603311963,920.0263254890056,1.318987481427999,5428.940278125,45867.765125331214,1047.143475,551.6729551155158,299.1838500000003,140.61622602918638,2.991838500000003,8.927153328852024
9,70461.12022378306,1196.8128128223977,1.77979415639117,5428.940278125,59903.937709410406,1047.143475,709.77881048855,299.1838500000003,222.40379086729885,2.991838500000003,16.28636615147828
10,81816.32420857732,1015.029314427428,1.7339209028566331,5428.940278125,71363.53445320169,1047.143475,846.6638847086119,299.1838500000003,69.0926396933651,2.991838500000003,4.98474897651266
11,86567.40724407122,1052.4194044731607,1.8301619996729037,5428.940278125,75561.39367519146,1047.143475,894.0496355930118,299.1838500000003,70.49130053703428,2.991838500000003,5.247235206536393
12,94170.3286305034,1013.1732155598891,1.9315115896525297,5428.940278125,82552.96606104352,1047.143475,974.1458022539464,299.1838500000003,0.0,2.991838500000003,0.0
13,91673.1016052186,992.4945865815469,1.8737119562190558,5428.940278125,80382.70433969275,1047.143475,949.9781565968102,299.1838500000003,0.0,2.991838500000003,0.0
14,64524.377316695776,772.6501363171702,1.3237874740868045,5428.940278125,56412.42565173542,1047.143475,678.3752714983245,299.1838500000003,0.0,2.991838500000003,0.0
15,80316.97626605642,903.4369882437303,1.6362060157786695,5428.940278125,70388.3542960108,1047.143475,837.51975495594,299.1838500000003,0.0,2.991838500000003,0.0
